user_id,event_date,campaign_id,exposed,outcome_metric,pre_campaign_value,post_campaign_value
u_0000,2024-04-15,C001,False,monthly_spend,20.0,15.51
u_0002,2024-04-15,C001,False,monthly_spend,0.0,0.8
u_0006,2024-04-15,C001,True,monthly_spend,0.0,0.0
u_0008,2024-04-15,C001,True,monthly_spend,20.0,22.32
u_0010,2024-04-15,C001,False,monthly_spend,0.0,0.0
u_0011,2024-04-15,C001,False,monthly_spend,4.08,2.08
u_0012,2024-04-15,C001,False,monthly_spend,0.0,0.0
u_0013,2024-04-15,C001,True,monthly_spend,3.83,8.54
u_0014,2024-04-15,C001,True,monthly_spend,8.9,16.25
u_0016,2024-04-15,C001,True,monthly_spend,11.05,12.21
u_0018,2024-04-15,C001,False,monthly_spend,0.0,0.0
u_0021,2024-04-15,C001,True,monthly_spend,2.77,6.33
u_0025,2024-04-15,C001,True,monthly_spend,24.74,28.46
u_0026,2024-04-15,C001,False,monthly_spend,81.55,90.2
u_0028,2024-04-15,C001,False,monthly_spend,17.87,11.29
u_0030,2024-04-15,C001,True,monthly_spend,59.47,72.7
u_0032,2024-04-15,C001,True,monthly_spend,8.53,9.24
u_0033,2024-04-15,C001,False,monthly_spend,1.08,0.0
u_0038,2024-04-15,C001,False,monthly_spend,26.49,37.73
u_0039,2024-04-15,C001,True,monthly_spend,20.0,34.93
u_0040,2024-04-15,C001,True,monthly_spend,34.19,38.28
u_0041,2024-04-15,C001,False,monthly_spend,0.0,2.22
u_0042,2024-04-15,C001,True,monthly_spend,8.91,7.89
u_0044,2024-04-15,C001,False,monthly_spend,32.59,31.04
u_0045,2024-04-15,C001,False,monthly_spend,354.12,348.46
u_0046,2024-04-15,C001,True,monthly_spend,77.28,82.47
u_0047,2024-04-15,C001,False,monthly_spend,63.74,72.96
u_0048,2024-04-15,C001,False,monthly_spend,0.0,0.0
u_0049,2024-04-15,C001,True,monthly_spend,5.41,6.47
u_0050,2024-04-15,C001,True,monthly_spend,0.0,0.0
u_0051,2024-04-15,C001,False,monthly_spend,20.0,20.95
u_0053,2024-04-15,C001,False,monthly_spend,1.22,0.0
u_0054,2024-04-15,C001,True,monthly_spend,16.16,14.72
u_0055,2024-04-15,C001,True,monthly_spend,0.0,0.0
u_0056,2024-04-15,C001,False,monthly_spend,5.23,11.69
u_0057,2024-04-15,C001,True,monthly_spend,0.0,0.0
u_0059,2024-04-15,C001,True,monthly_spend,76.06,81.57
u_0060,2024-04-15,C001,True,monthly_spend,3.16,0.0
u_0061,2024-04-15,C001,False,monthly_spend,73.64,69.19
u_0063,2024-04-15,C001,False,monthly_spend,20.0,17.7
u_0064,2024-04-15,C001,True,monthly_spend,3.94,9.42
u_0066,2024-04-15,C001,True,monthly_spend,0.0,0.0
u_0067,2024-04-15,C001,False,monthly_spend,59.39,57.34
u_0068,2024-04-15,C001,False,monthly_spend,10.1,11.6
u_0069,2024-04-15,C001,True,monthly_spend,1.12,0.0
u_0071,2024-04-15,C001,True,monthly_spend,20.0,35.05
u_0072,2024-04-15,C001,False,monthly_spend,20.0,17.04
u_0073,2024-04-15,C001,True,monthly_spend,226.15,262.14
u_0074,2024-04-15,C001,True,monthly_spend,0.0,4.13
u_0076,2024-04-15,C001,False,monthly_spend,20.0,16.9
u_0078,2024-04-15,C001,False,monthly_spend,21.72,22.55
u_0079,2024-04-15,C001,True,monthly_spend,26.48,27.95
u_0080,2024-04-15,C001,False,monthly_spend,7.45,8.82
u_0082,2024-04-15,C001,False,monthly_spend,20.0,20.5
u_0083,2024-04-15,C001,False,monthly_spend,6.64,5.94
u_0085,2024-04-15,C001,False,monthly_spend,312.35,306.57
u_0086,2024-04-15,C001,False,monthly_spend,0.0,9.32
u_0087,2024-04-15,C001,True,monthly_spend,1.01,4.09
u_0089,2024-04-15,C001,True,monthly_spend,32.43,29.35
u_0090,2024-04-15,C001,False,monthly_spend,2.35,0.25
u_0091,2024-04-15,C001,True,monthly_spend,11.36,5.22
u_0092,2024-04-15,C001,False,monthly_spend,20.0,23.81
u_0093,2024-04-15,C001,True,monthly_spend,7.37,8.37
u_0094,2024-04-15,C001,False,monthly_spend,0.91,0.93
u_0095,2024-04-15,C001,False,monthly_spend,0.0,0.0
u_0096,2024-04-15,C001,True,monthly_spend,1.91,0.62
u_0098,2024-04-15,C001,False,monthly_spend,47.65,51.59
u_0099,2024-04-15,C001,False,monthly_spend,25.13,30.41
u_0102,2024-04-15,C001,False,monthly_spend,4.84,9.07
u_0103,2024-04-15,C001,False,monthly_spend,0.0,0.0
u_0104,2024-04-15,C001,False,monthly_spend,71.12,70.19
u_0105,2024-04-15,C001,True,monthly_spend,2.3,3.91
u_0106,2024-04-15,C001,True,monthly_spend,22.95,22.72
u_0107,2024-04-15,C001,True,monthly_spend,15.66,9.71
u_0108,2024-04-15,C001,True,monthly_spend,7.05,1.67
u_0109,2024-04-15,C001,False,monthly_spend,1.55,9.05
u_0110,2024-04-15,C001,False,monthly_spend,3.12,0.0
u_0111,2024-04-15,C001,True,monthly_spend,0.0,0.24
u_0112,2024-04-15,C001,True,monthly_spend,10.79,11.63
u_0115,2024-04-15,C001,True,monthly_spend,36.05,40.69
u_0116,2024-04-15,C001,True,monthly_spend,50.19,56.12
u_0117,2024-04-15,C001,False,monthly_spend,6.19,10.14
u_0118,2024-04-15,C001,True,monthly_spend,1.43,1.82
u_0120,2024-04-15,C001,False,monthly_spend,5.19,2.06
u_0121,2024-04-15,C001,False,monthly_spend,55.21,55.47
u_0122,2024-04-15,C001,False,monthly_spend,7.06,0.67
